Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,True,2.75,2,Allowed_With_Citation,3,3.749,68.81,Medium
Humanities,Senior,3.579,0.45,Ideation,Beginner,1,True,10.61,1,Allowed_With_Citation,8,3.76,55.33,Low
Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,False,8.24,8,Strict_Ban,7,2.588,63.38,Medium
Arts,Senior,3.308,2.38,Ideation,Advanced,4,True,11.33,2,Actively_Encouraged,2,4.0,81.85,High
STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5,True,14.29,6,Allowed_With_Citation,2,3.822,82.36,Medium
Business,Junior,3.302,23.96,Ideation,Intermediate,2,True,6.54,5,Allowed_With_Citation,1,3.487,67.74,High
Business,Freshman,3.282,0.68,Ideation,Beginner,1,False,17.89,1,Actively_Encouraged,4,3.088,74.67,Low
STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4,True,10.25,5,Allowed_With_Citation,4,4.0,61.29,Medium
Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4,True,16.16,2,Allowed_With_Citation,6,3.989,88.44,Low
STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2,False,11.77,5,Allowed_With_Citation,5,1.342,56.81,Medium
STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3,False,16.16,3,Allowed_With_Citation,5,3.276,74.03,Medium
Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5,False,9.89,2,Allowed_With_Citation,1,3.335,89.14,Medium
Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2,True,1.0,7,Allowed_With_Citation,3,3.207,67.2,High
Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4,True,3.67,2,Strict_Ban,5,3.553,55.89,High
Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3,False,7.46,1,Allowed_With_Citation,5,3.145,75.11,Low
STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3,True,1.0,5,Allowed_With_Citation,4,3.636,96.68,Low
Business,Sophomore,2.403,1.58,Ideation,Intermediate,4,True,13.34,1,Allowed_With_Citation,5,2.365,74.3,High
Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3,False,10.81,2,Actively_Encouraged,2,3.452,92.44,Medium
STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3,True,8.95,5,Allowed_With_Citation,8,2.686,84.71,Medium
Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3,True,11.3,1,Allowed_With_Citation,5,3.812,72.05,Low
STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3,False,8.42,3,Allowed_With_Citation,4,3.909,68.22,Medium
Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3,False,8.21,4,Strict_Ban,4,3.277,79.79,Medium
STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3,False,9.36,4,Allowed_With_Citation,7,3.447,62.75,Low
Business,Junior,3.503,6.34,Ideation,Intermediate,2,False,21.22,2,Strict_Ban,5,3.942,99.25,Low
Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1,False,11.84,4,Allowed_With_Citation,3,4.0,76.67,Medium
Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2,True,10.5,2,Actively_Encouraged,3,3.567,86.73,Medium
Business,Senior,2.645,8.78,Ideation,Intermediate,3,False,5.97,1,Strict_Ban,3,2.884,87.51,High
STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2,True,20.87,5,Allowed_With_Citation,4,3.644,83.76,Medium
Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4,True,15.85,3,Strict_Ban,6,4.0,61.2,High
Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2,True,12.82,6,Actively_Encouraged,5,2.903,69.95,High
Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3,True,9.52,5,Allowed_With_Citation,6,3.155,59.46,Low
Medical,Senior,3.732,0.88,Ideation,Intermediate,4,True,12.87,4,Allowed_With_Citation,1,3.885,79.82,Medium
Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1,False,15.1,2,Allowed_With_Citation,5,3.393,62.77,Medium
Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2,True,4.24,6,Actively_Encouraged,2,3.521,63.38,High
STEM,Junior,3.837,2.23,Ideation,Advanced,4,True,14.06,4,Strict_Ban,4,3.988,60.88,Medium
STEM,Sophomore,3.249,9.77,Ideation,Advanced,3,True,17.42,4,Allowed_With_Citation,4,3.342,80.19,Medium
STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2,False,18.28,3,Allowed_With_Citation,4,3.394,83.39,Medium
Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2,False,10.74,2,Strict_Ban,8,3.518,70.28,Medium
Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3,False,10.29,4,Strict_Ban,5,3.914,77.49,Low
STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3,False,8.94,1,Allowed_With_Citation,1,3.665,60.08,Medium
Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1,False,10.06,6,Strict_Ban,5,2.339,77.44,High
Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4,False,13.18,2,Allowed_With_Citation,3,2.896,57.43,Low
STEM,Graduate,3.569,8.2,Ideation,Intermediate,1,False,17.15,2,Actively_Encouraged,4,3.922,75.58,Low
Business,Freshman,3.074,0.65,Ideation,Intermediate,3,True,14.09,3,Actively_Encouraged,5,3.416,80.16,Medium
STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,True,15.32,3,Allowed_With_Citation,2,3.702,80.75,Medium
Arts,Graduate,3.606,1.1,Ideation,Beginner,2,False,17.55,2,Strict_Ban,3,3.758,60.58,Medium
STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,True,6.48,4,Allowed_With_Citation,2,3.879,78.14,High
Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,True,7.64,5,Allowed_With_Citation,5,2.951,65.48,Low
Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1,True,13.19,6,Allowed_With_Citation,7,3.295,53.65,High
STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,False,9.7,8,Allowed_With_Citation,6,3.326,45.39,Medium
STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,False,6.39,3,Actively_Encouraged,5,3.687,80.79,Low
Arts,Freshman,2.579,8.72,Ideation,Advanced,3,False,14.07,4,Allowed_With_Citation,3,2.962,63.96,Low
Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1,False,19.29,5,Allowed_With_Citation,3,3.389,58.03,Low
Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2,False,13.8,2,Allowed_With_Citation,5,2.468,72.32,Medium
Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3,False,6.21,1,Allowed_With_Citation,7,2.393,78.1,Low
STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,True,11.39,1,Allowed_With_Citation,2,3.969,85.55,Low
Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2,False,16.3,1,Allowed_With_Citation,8,3.21,77.88,High
STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,True,14.7,2,Allowed_With_Citation,1,3.293,76.51,Medium
Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2,True,1.96,2,Allowed_With_Citation,1,3.195,69.29,Low
Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2,False,12.93,4,Strict_Ban,2,3.421,64.26,Low
Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1,False,4.38,4,Actively_Encouraged,4,3.418,75.13,Medium
STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,False,17.94,2,Allowed_With_Citation,2,3.691,73.6,Medium
Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4,False,12.32,4,Actively_Encouraged,3,2.354,65.13,Low
Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3,False,18.91,3,Strict_Ban,3,3.334,81.48,Medium
Business,Graduate,3.033,9.65,Ideation,Intermediate,5,True,2.81,2,Strict_Ban,5,3.216,93.82,High
Business,Senior,2.549,13.19,Ideation,Beginner,2,True,11.21,6,Allowed_With_Citation,5,2.855,59.64,Medium
Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,True,2.53,1,Actively_Encouraged,2,3.389,79.27,High
Humanities,Graduate,3.544,34.0,Debugging/Troubleshooting,Beginner,2,False,8.67,6,Actively_Encouraged,1,3.795,68.8,High
STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,False,14.46,3,Actively_Encouraged,6,2.75,55.09,Medium
Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5,True,8.39,3,Strict_Ban,2,3.139,65.99,High
Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5,False,14.86,3,Allowed_With_Citation,1,2.887,68.77,Low
Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2,True,9.91,7,Actively_Encouraged,8,3.17,74.32,Medium
Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2,True,12.78,3,Allowed_With_Citation,4,3.378,76.16,Medium
Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,False,11.81,1,Allowed_With_Citation,3,3.873,59.56,High
Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2,False,8.4,2,Actively_Encouraged,5,2.993,71.8,Medium
Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2,False,9.14,2,Allowed_With_Citation,3,2.918,66.73,Medium
STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,True,5.64,6,Allowed_With_Citation,4,2.473,55.74,Medium
STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,False,11.04,6,Allowed_With_Citation,2,2.754,98.76,High
STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,True,10.46,7,Allowed_With_Citation,6,3.715,62.3,High
Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3,True,13.27,6,Strict_Ban,4,1.942,55.12,Medium
Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2,True,10.21,5,Allowed_With_Citation,2,4.0,56.37,Medium
Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2,False,13.78,2,Allowed_With_Citation,4,3.348,85.52,Low
Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2,True,13.43,2,Actively_Encouraged,2,2.307,63.93,Medium
STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,True,8.86,3,Allowed_With_Citation,1,3.234,87.33,Medium
Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3,True,9.82,2,Strict_Ban,1,2.869,84.71,Low
Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1,False,11.66,2,Strict_Ban,4,2.468,72.83,Low
STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4,False,19.85,3,Allowed_With_Citation,1,3.321,94.36,Low
STEM,Graduate,2.379,10.28,Ideation,Advanced,4,False,21.84,4,Allowed_With_Citation,2,3.09,96.15,Low
STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1,False,5.89,2,Strict_Ban,4,4.0,53.65,Low
STEM,Freshman,3.203,12.06,Ideation,Beginner,3,True,10.76,6,Allowed_With_Citation,6,3.257,82.36,Medium
Medical,Junior,3.501,9.86,Ideation,Intermediate,2,False,10.92,5,Allowed_With_Citation,3,3.839,85.42,Low
Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1,True,8.7,4,Allowed_With_Citation,1,3.176,66.09,Low
Business,Sophomore,3.784,2.61,Ideation,Advanced,5,False,17.37,1,Allowed_With_Citation,3,4.0,83.06,Low
Medical,Sophomore,3.242,1.25,Ideation,Beginner,3,False,8.2,2,Allowed_With_Citation,3,3.705,78.83,Medium
Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3,True,13.36,3,Actively_Encouraged,4,3.213,61.45,Low
STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2,False,14.34,1,Strict_Ban,6,4.0,62.09,Low
Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2,False,3.85,7,Allowed_With_Citation,5,2.602,62.97,Medium
Business,Freshman,2.074,0.9,Ideation,Advanced,5,True,14.29,1,Allowed_With_Citation,3,2.217,69.58,Low
Arts,Senior,1.845,3.58,Ideation,Intermediate,4,False,13.55,3,Allowed_With_Citation,2,2.293,63.51,Medium
Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2,False,18.15,4,Actively_Encouraged,9,3.99,69.49,Low
Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1,False,15.63,4,Allowed_With_Citation,4,4.0,88.85,Medium
STEM,Sophomore,3.856,3.16,Ideation,Advanced,3,True,6.88,5,Actively_Encouraged,6,4.0,93.35,Medium
STEM,Sophomore,3.446,40.0,Summarizing_Reading,Intermediate,4,False,7.47,10,Actively_Encouraged,2,3.441,76.67,High
Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2,False,7.85,7,Actively_Encouraged,8,3.137,86.56,Medium
Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2,False,11.48,4,Allowed_With_Citation,2,2.574,96.82,Low
Arts,Senior,3.887,23.63,Ideation,Beginner,2,True,17.8,7,Strict_Ban,9,4.0,76.58,Medium
STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4,False,13.31,3,Allowed_With_Citation,3,3.456,63.1,Medium
Business,Junior,3.537,8.18,Ideation,Intermediate,2,False,14.57,2,Actively_Encouraged,1,3.576,96.33,Low
Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2,False,11.94,1,Allowed_With_Citation,6,3.146,48.73,Low
STEM,Freshman,3.505,20.76,Ideation,Advanced,3,True,7.95,5,Allowed_With_Citation,4,4.0,84.53,Low
STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3,False,13.35,5,Actively_Encouraged,5,3.897,73.28,Medium
Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3,False,11.01,6,Allowed_With_Citation,1,3.717,67.16,High
Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2,False,10.01,3,Allowed_With_Citation,7,2.57,67.06,Low
Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1,True,8.27,3,Actively_Encouraged,7,2.785,56.59,Medium
Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3,True,12.68,8,Allowed_With_Citation,3,3.49,77.45,Medium
Business,Freshman,2.767,0.44,Ideation,Advanced,4,True,19.67,4,Strict_Ban,2,3.137,82.77,Medium
Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1,True,5.38,1,Allowed_With_Citation,3,3.881,59.74,Medium
Medical,Graduate,3.393,1.9,Ideation,Beginner,2,False,9.32,3,Allowed_With_Citation,2,3.384,64.37,Low
Medical,Senior,2.443,20.69,Ideation,Beginner,2,False,1.95,4,Allowed_With_Citation,7,2.674,79.7,High
STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4,True,10.34,4,Allowed_With_Citation,4,2.794,69.1,High
Humanities,Sophomore,3.43,10.37,Copywriting/Drafting,Advanced,4,True,16.72,4,Actively_Encouraged,1,3.641,78.81,Medium
Humanities,Sophomore,3.668,16.61,Summarizing_Reading,Beginner,3,False,6.92,5,Allowed_With_Citation,7,3.645,76.77,High
STEM,Junior,3.691,22.04,Summarizing_Reading,Intermediate,1,True,1.0,6,Allowed_With_Citation,9,3.877,72.99,Low
STEM,Sophomore,2.425,9.16,Ideation,Advanced,3,False,18.86,5,Actively_Encouraged,4,2.992,90.32,High
Business,Sophomore,3.087,25.66,Ideation,Intermediate,1,False,1.0,5,Allowed_With_Citation,4,3.103,79.98,High
Business,Junior,2.107,6.05,Ideation,Beginner,2,True,6.14,1,Actively_Encouraged,1,2.313,76.11,Low
STEM,Sophomore,3.221,40.0,Debugging/Troubleshooting,Beginner,3,True,4.54,6,Allowed_With_Citation,5,3.347,57.02,High
STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,Advanced,4,True,7.77,8,Actively_Encouraged,6,3.84,51.53,High
Medical,Freshman,3.85,20.4,Copywriting/Drafting,Beginner,1,False,16.51,6,Actively_Encouraged,6,4.0,100.0,Medium
STEM,Sophomore,2.784,4.43,Copywriting/Drafting,Intermediate,5,True,17.4,4,Allowed_With_Citation,3,3.092,82.92,Low
STEM,Junior,2.871,4.13,Summarizing_Reading,Advanced,4,False,10.31,1,Allowed_With_Citation,4,2.848,85.82,Medium
Humanities,Sophomore,3.518,4.01,Ideation,Intermediate,3,True,18.42,1,Allowed_With_Citation,3,3.728,88.31,Low
Medical,Freshman,3.661,1.52,Summarizing_Reading,Intermediate,3,False,8.0,3,Strict_Ban,2,3.851,48.59,Medium
STEM,Sophomore,3.441,1.35,Copywriting/Drafting,Advanced,3,False,20.18,3,Actively_Encouraged,4,3.745,72.69,Medium
Business,Freshman,2.323,9.72,Summarizing_Reading,Beginner,3,False,10.26,6,Allowed_With_Citation,7,2.537,73.34,High
Arts,Graduate,3.033,3.86,Copywriting/Drafting,Beginner,3,True,6.6,5,Actively_Encouraged,5,3.487,71.38,High
STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,Beginner,2,True,6.81,4,Strict_Ban,4,2.536,81.38,High
Business,Freshman,3.491,2.92,Ideation,Intermediate,3,True,13.33,4,Actively_Encouraged,9,3.739,77.34,Medium
Humanities,Senior,3.564,2.76,Copywriting/Drafting,Beginner,3,False,21.05,1,Actively_Encouraged,5,4.0,66.33,Low
Business,Sophomore,3.518,9.49,Summarizing_Reading,Beginner,2,False,7.24,5,Strict_Ban,5,3.553,76.08,Low
Business,Junior,3.34,2.62,Debugging/Troubleshooting,Beginner,1,False,18.85,3,Allowed_With_Citation,2,3.728,81.7,High
Business,Freshman,3.565,1.41,Ideation,Intermediate,2,False,15.13,4,Allowed_With_Citation,5,3.905,80.89,Low
STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,Beginner,3,True,12.13,6,Allowed_With_Citation,5,2.606,70.82,High
Arts,Graduate,3.365,9.67,Ideation,Beginner,2,False,7.94,3,Actively_Encouraged,5,3.286,66.16,High
Humanities,Senior,3.257,1.18,Summarizing_Reading,Beginner,1,False,16.79,1,Strict_Ban,2,3.809,81.93,High
STEM,Senior,2.258,2.67,Debugging/Troubleshooting,Intermediate,1,False,6.45,3,Allowed_With_Citation,1,2.326,82.16,Low
STEM,Junior,2.086,4.31,Debugging/Troubleshooting,Intermediate,2,False,5.11,2,Strict_Ban,5,2.38,51.4,Medium
Business,Graduate,2.331,5.54,Summarizing_Reading,Intermediate,2,True,11.0,3,Strict_Ban,4,2.493,83.54,High
Business,Junior,1.737,0.78,Ideation,Advanced,4,True,15.51,5,Allowed_With_Citation,5,2.001,82.74,Low
STEM,Sophomore,3.3,2.54,Ideation,Intermediate,1,False,9.31,4,Allowed_With_Citation,7,3.386,80.69,Medium
Business,Freshman,2.624,0.11,Summarizing_Reading,Advanced,3,False,10.56,3,Allowed_With_Citation,7,2.737,71.53,Medium
STEM,Freshman,3.478,9.82,Copywriting/Drafting,Beginner,2,False,1.21,3,Allowed_With_Citation,6,3.476,41.99,Low
Business,Junior,2.121,14.99,Direct_Answer_Generation,Intermediate,2,False,14.5,6,Actively_Encouraged,3,2.264,65.19,Medium
STEM,Sophomore,3.174,2.13,Debugging/Troubleshooting,Beginner,2,False,18.79,5,Actively_Encouraged,8,3.084,69.25,High
Business,Senior,3.349,18.12,Ideation,Advanced,4,False,6.81,6,Allowed_With_Citation,5,3.457,87.34,High
Humanities,Sophomore,2.576,3.46,Summarizing_Reading,Beginner,3,True,18.16,3,Allowed_With_Citation,4,2.835,73.45,Low
Medical,Graduate,3.66,2.94,Copywriting/Drafting,Beginner,1,True,12.84,3,Strict_Ban,5,3.961,59.54,Low
STEM,Junior,2.866,2.7,Debugging/Troubleshooting,Advanced,5,False,10.94,2,Actively_Encouraged,2,3.515,66.28,Low
Humanities,Junior,2.129,26.24,Copywriting/Drafting,Advanced,5,True,7.7,7,Strict_Ban,9,2.284,82.23,High
STEM,Junior,3.676,3.1,Debugging/Troubleshooting,Beginner,1,True,17.08,4,Strict_Ban,1,3.814,57.65,Low
Medical,Graduate,3.443,3.49,Ideation,Advanced,3,True,10.52,2,Actively_Encouraged,3,3.805,90.63,High
Medical,Freshman,3.295,0.75,Summarizing_Reading,Beginner,2,False,18.67,1,Allowed_With_Citation,5,3.413,64.58,Low
STEM,Freshman,3.022,37.66,Copywriting/Drafting,Intermediate,3,True,7.47,6,Allowed_With_Citation,7,3.26,55.99,Medium
Business,Senior,3.43,0.36,Debugging/Troubleshooting,Beginner,2,False,12.55,4,Allowed_With_Citation,1,3.995,90.27,Low
Arts,Senior,2.82,3.33,Copywriting/Drafting,Intermediate,3,False,12.62,2,Allowed_With_Citation,1,3.102,61.83,Low
Business,Junior,3.396,1.87,Copywriting/Drafting,Intermediate,3,False,3.97,2,Actively_Encouraged,1,3.49,55.3,Medium
Business,Sophomore,3.326,3.23,Ideation,Beginner,2,False,15.68,1,Allowed_With_Citation,4,3.592,62.61,Medium
STEM,Sophomore,3.414,1.7,Copywriting/Drafting,Intermediate,4,False,10.47,3,Allowed_With_Citation,8,3.882,89.38,Low
STEM,Sophomore,3.05,3.49,Summarizing_Reading,Intermediate,2,False,3.56,2,Actively_Encouraged,1,2.981,92.74,Low
Medical,Graduate,3.668,3.05,Summarizing_Reading,Intermediate,2,False,5.0,4,Actively_Encouraged,9,4.0,96.43,High
Medical,Sophomore,3.282,2.41,Direct_Answer_Generation,Beginner,2,False,12.17,3,Allowed_With_Citation,1,3.661,100.0,Low
Business,Senior,3.295,7.69,Copywriting/Drafting,Advanced,5,False,16.64,1,Allowed_With_Citation,2,3.857,95.01,Low
Humanities,Senior,2.228,3.64,Ideation,Beginner,3,False,2.4,1,Allowed_With_Citation,5,2.429,72.68,Medium
Humanities,Freshman,3.781,2.11,Copywriting/Drafting,Intermediate,2,False,18.87,2,Actively_Encouraged,3,3.95,87.3,Medium
Business,Freshman,3.861,6.34,Direct_Answer_Generation,Beginner,2,False,11.62,3,Allowed_With_Citation,6,3.797,55.28,Low
Medical,Sophomore,2.816,2.64,Direct_Answer_Generation,Intermediate,1,False,13.48,1,Allowed_With_Citation,6,2.921,76.6,Low
Medical,Senior,1.691,8.1,Summarizing_Reading,Beginner,3,False,9.79,4,Allowed_With_Citation,3,1.86,58.58,Medium
Arts,Sophomore,2.874,14.28,Direct_Answer_Generation,Advanced,3,False,13.68,6,Strict_Ban,5,3.035,87.08,High
Business,Freshman,3.337,17.53,Copywriting/Drafting,Beginner,2,True,13.95,6,Strict_Ban,10,3.714,53.77,Medium
STEM,Sophomore,2.773,1.76,Summarizing_Reading,Advanced,3,True,18.52,2,Actively_Encouraged,2,3.061,68.03,Low
STEM,Freshman,3.548,0.87,Debugging/Troubleshooting,Intermediate,5,True,12.01,4,Strict_Ban,7,3.673,72.33,Medium
Medical,Freshman,2.053,10.51,Direct_Answer_Generation,Beginner,3,False,11.46,4,Allowed_With_Citation,6,2.172,73.12,Low
Business,Sophomore,3.357,21.32,Debugging/Troubleshooting,Beginner,2,True,14.42,6,Allowed_With_Citation,6,3.824,64.84,Medium
STEM,Freshman,3.219,8.15,Debugging/Troubleshooting,Intermediate,3,True,17.99,4,Actively_Encouraged,6,3.384,62.0,Medium
STEM,Senior,3.819,0.81,Debugging/Troubleshooting,Beginner,2,True,12.11,4,Actively_Encouraged,5,4.0,88.92,Medium
Business,Sophomore,3.166,9.73,Ideation,Beginner,1,False,11.08,4,Allowed_With_Citation,4,3.424,88.19,Low
